questions,answers,questions_with_answers,entity,image_ids
RT @ShaukatWarraich : Mashallah with some great people at the Imams Online recent summit . @QariAsim http://t.co/dGSE6YWZLq Which word(s) correspond to the person in the sentence? ,Mashallah,RT @ShaukatWarraich : Mashallah with some great people at the Imams Online recent summit . @QariAsim http://t.co/dGSE6YWZLq Which word(s) correspond to the person in the sentence? Answer: Mashallah,person,50167.jpg
RT @EASPORTSNBA : The @Raptors should probably wear those @Drake alternates in Philly this season . . . #JustSaying http://t.co/gDaw5FkjNl Which word(s) correspond to the location in the sentence? ,Philly,RT @EASPORTSNBA : The @Raptors should probably wear those @Drake alternates in Philly this season . . . #JustSaying http://t.co/gDaw5FkjNl Which word(s) correspond to the location in the sentence? Answer: Philly,location,134113.jpg
http://t.co/vfdYRTVuHC Living Room Furniture Ottawa http://t.co/kR6OgzG4aD Which word(s) correspond to the location in the sentence? ,Ottawa,http://t.co/vfdYRTVuHC Living Room Furniture Ottawa http://t.co/kR6OgzG4aD Which word(s) correspond to the location in the sentence? Answer: Ottawa,location,619286.jpg
RT @Iwanrunner : 1 % Hitler #scary http://t.co/bdejUDRa Which word(s) correspond to the person in the sentence? ,Hitler,RT @Iwanrunner : 1 % Hitler #scary http://t.co/bdejUDRa Which word(s) correspond to the person in the sentence? Answer: Hitler,person,90403.jpg
2 weeks til @cpboficial Brazilian Shooting Champs ! Key comp developing #IPCShooting in Americas before @Rio2016 _ en ! http://t.co/M6TuHTAeHK Which word(s) correspond to the location in the sentence? ,Americas,2 weeks til @cpboficial Brazilian Shooting Champs ! Key comp developing #IPCShooting in Americas before @Rio2016 _ en ! http://t.co/M6TuHTAeHK Which word(s) correspond to the location in the sentence? Answer: Americas,location,689339.jpg
RT @TheChuckCarroll : Headliner Barry Manilow now going through sound checks . http://t.co/dt3SYy9AfL Which word(s) correspond to the misceallonous entity in the sentence? ,Headliner Manilow Barry,RT @TheChuckCarroll : Headliner Barry Manilow now going through sound checks . http://t.co/dt3SYy9AfL Which word(s) correspond to the misceallonous entity in the sentence? Answer: Headliner Manilow Barry,misceallonous entity,245058.jpg
RT @Oval _ station : Friday 12th June Thought Of The Day From Oval Station By Sir Christopher Lee 1922 - 2015 RIP http://t.co/lAWMZqcT9W Which word(s) correspond to the person in the sentence? ,Christopher Lee,RT @Oval _ station : Friday 12th June Thought Of The Day From Oval Station By Sir Christopher Lee 1922 - 2015 RIP http://t.co/lAWMZqcT9W Which word(s) correspond to the person in the sentence? Answer: Christopher Lee,person,1834906.jpg
RT @Tobias _ FJ : A trove of shopfront lettering in Malta : http://t.co/r5y9TTFWDn http://t.co/dMP5Iw7VhQ Which word(s) correspond to the location in the sentence? ,Malta,RT @Tobias _ FJ : A trove of shopfront lettering in Malta : http://t.co/r5y9TTFWDn http://t.co/dMP5Iw7VhQ Which word(s) correspond to the location in the sentence? Answer: Malta,location,1866367.jpg
Paoay Church is lovely at night . http://t.co/qQlFTWeafo Which word(s) correspond to the location in the sentence? ,Paoay Church,Paoay Church is lovely at night . http://t.co/qQlFTWeafo Which word(s) correspond to the location in the sentence? Answer: Paoay Church,location,1388738.jpg
RT @Gabriele _ Corno : Follow Your Dreams . . . . by Mary Schannen #dreamers #ChildhoodMemories http://t.co/SrpEPs2yng Which word(s) correspond to the misceallonous entity in the sentence? ,Follow Dreams Your,RT @Gabriele _ Corno : Follow Your Dreams . . . . by Mary Schannen #dreamers #ChildhoodMemories http://t.co/SrpEPs2yng Which word(s) correspond to the misceallonous entity in the sentence? Answer: Follow Dreams Your,misceallonous entity,1771502.jpg
"RT @UberFootbalI : On this day , 8 years ago , a 19-year old Lionel Messi did this . Wow . http://t.co/9Pmra3r8G5 Which word(s) correspond to the person in the sentence? ",Lionel Messi,"RT @UberFootbalI : On this day , 8 years ago , a 19-year old Lionel Messi did this . Wow . http://t.co/9Pmra3r8G5 Which word(s) correspond to the person in the sentence? Answer: Lionel Messi",person,379928.jpg
RT @CheltenhamRaces : Look out for #charliechicken in Cheltenham this afternoon giving out free race day tickets to Family Funday Sunday ! . . . Which word(s) correspond to the location in the sentence? ,Cheltenham,RT @CheltenhamRaces : Look out for #charliechicken in Cheltenham this afternoon giving out free race day tickets to Family Funday Sunday ! . . . Which word(s) correspond to the location in the sentence? Answer: Cheltenham,location,1359666.jpg
"RT @BE _ MSprague : What the Seahawks should have done , Tecmo Super Bowl edition : http://t.co/ocCNsVOfaK Which word(s) correspond to the organization in the sentence? ",Seahawks,"RT @BE _ MSprague : What the Seahawks should have done , Tecmo Super Bowl edition : http://t.co/ocCNsVOfaK Which word(s) correspond to the organization in the sentence? Answer: Seahawks",organization,917882.jpg
"RT @KrekHak : IKEA is leuk , dat is duidelijk . https : //t . co/Bdz42NHUTj Which word(s) correspond to the misceallonous entity in the sentence? ",IKEA,"RT @KrekHak : IKEA is leuk , dat is duidelijk . https : //t . co/Bdz42NHUTj Which word(s) correspond to the misceallonous entity in the sentence? Answer: IKEA",misceallonous entity,70789.jpg
RT @JacketTV : Mr Tuff presented by Wynne Fumble Club -Austin Brock http://t.co/bUQBSxsE9T Which word(s) correspond to the person in the sentence? ,Mr Tuff,RT @JacketTV : Mr Tuff presented by Wynne Fumble Club -Austin Brock http://t.co/bUQBSxsE9T Which word(s) correspond to the person in the sentence? Answer: Mr Tuff,person,363969.jpg
RT @kingsthings : Happy birthday @wizkhalifa ! I bet I can guess how Wiz is spending his day . . . http://t.co/tLToXJoomh http://t.co/j0xLLTMl5t Which word(s) correspond to the person in the sentence? ,Wiz,RT @kingsthings : Happy birthday @wizkhalifa ! I bet I can guess how Wiz is spending his day . . . http://t.co/tLToXJoomh http://t.co/j0xLLTMl5t Which word(s) correspond to the person in the sentence? Answer: Wiz,person,1342471.jpg
RT @1DUpdatesARG _ : #NEW HQ Zayn outside the arena 6/10 #2 http://t.co/2z0pyc61xD Which word(s) correspond to the person in the sentence? ,Zayn,RT @1DUpdatesARG _ : #NEW HQ Zayn outside the arena 6/10 #2 http://t.co/2z0pyc61xD Which word(s) correspond to the person in the sentence? Answer: Zayn,person,36563.jpg
"RIP , Luise Rainer . 1910-2014 . http://t.co/TyVCxiPVLN Which word(s) correspond to the person in the sentence? ",Luise Rainer,"RIP , Luise Rainer . 1910-2014 . http://t.co/TyVCxiPVLN Which word(s) correspond to the person in the sentence? Answer: Luise Rainer",person,93913.jpg
Poor Batista ! http://t.co/cviCWbutV4 Which word(s) correspond to the person in the sentence? ,Batista,Poor Batista ! http://t.co/cviCWbutV4 Which word(s) correspond to the person in the sentence? Answer: Batista,person,517964.jpg
RT @bohemianizm : Art from Rachael Speirs http://t.co/KaTGWGwQVE #art #visualart #craft http://t.co/zEDVFLgfDk Which word(s) correspond to the person in the sentence? ,Rachael Speirs,RT @bohemianizm : Art from Rachael Speirs http://t.co/KaTGWGwQVE #art #visualart #craft http://t.co/zEDVFLgfDk Which word(s) correspond to the person in the sentence? Answer: Rachael Speirs,person,1794188.jpg
Status of Bo Jordan and Hunter Stieber ? #askcoachryan http://t.co/4zBFd3OOlC Which word(s) correspond to the person in the sentence? ,Bo Jordan,Status of Bo Jordan and Hunter Stieber ? #askcoachryan http://t.co/4zBFd3OOlC Which word(s) correspond to the person in the sentence? Answer: Bo Jordan,person,63645.jpg
RT @pritchett _ dan : They just arrested a 12-year-old girl #Ferguson http://t.co/7osY1tGqvy Which word(s) correspond to the person in the sentence? ,#Ferguson,RT @pritchett _ dan : They just arrested a 12-year-old girl #Ferguson http://t.co/7osY1tGqvy Which word(s) correspond to the person in the sentence? Answer: #Ferguson,person,120153.jpg
RT @ianbremmer : Still Looking for Putin http://t.co/yeyNfxGINw Which word(s) correspond to the person in the sentence? ,Putin,RT @ianbremmer : Still Looking for Putin http://t.co/yeyNfxGINw Which word(s) correspond to the person in the sentence? Answer: Putin,person,302030.jpg
MACEDONIA - A migrant waits to reach a train heading to the border with Serbia in Gevgelija . By @dilkoff #AFP http://t.co/qIatDV90ph Which word(s) correspond to the location in the sentence? ,MACEDONIA,MACEDONIA - A migrant waits to reach a train heading to the border with Serbia in Gevgelija . By @dilkoff #AFP http://t.co/qIatDV90ph Which word(s) correspond to the location in the sentence? Answer: MACEDONIA,location,1405149.jpg
RT @CBSSunday : What treasures worth at least $ 125K will be gifted to the losers at the Oscars ? http://t.co/xlbl0CnwQZ http://t.co/WhiIRub240 Which word(s) correspond to the misceallonous entity in the sentence? ,Oscars,RT @CBSSunday : What treasures worth at least $ 125K will be gifted to the losers at the Oscars ? http://t.co/xlbl0CnwQZ http://t.co/WhiIRub240 Which word(s) correspond to the misceallonous entity in the sentence? Answer: Oscars,misceallonous entity,29193.jpg
"Amazing start to the day today at Passo Dello Stelvio , Italy . #skiing http://t.co/AX6mpPUITW Which word(s) correspond to the location in the sentence? ",Passo Stelvio Dello,"Amazing start to the day today at Passo Dello Stelvio , Italy . #skiing http://t.co/AX6mpPUITW Which word(s) correspond to the location in the sentence? Answer: Passo Stelvio Dello",location,2026961.jpg
RT @Bipartisanism : The difference between resisting arrest and aggravated assault shown by Peter Griffin . #McKinney http://t.co/HUkpYbuGGR Which word(s) correspond to the person in the sentence? ,Peter Griffin,RT @Bipartisanism : The difference between resisting arrest and aggravated assault shown by Peter Griffin . #McKinney http://t.co/HUkpYbuGGR Which word(s) correspond to the person in the sentence? Answer: Peter Griffin,person,1350772.jpg
"RT @RembranceOfPast : In 1963 , wives say goodbye to their loved ones in the Navy . http://t.co/C4Zr4ldbR3 Which word(s) correspond to the organization in the sentence? ",Navy,"RT @RembranceOfPast : In 1963 , wives say goodbye to their loved ones in the Navy . http://t.co/C4Zr4ldbR3 Which word(s) correspond to the organization in the sentence? Answer: Navy",organization,65339.jpg
". . . By his stripes , we are healed . Isaiah 53 : 5 #GoodFriday #ELCEaster #Easter http://t.co/dxheV0hHLD Which word(s) correspond to the person in the sentence? ",Isaiah,". . . By his stripes , we are healed . Isaiah 53 : 5 #GoodFriday #ELCEaster #Easter http://t.co/dxheV0hHLD Which word(s) correspond to the person in the sentence? Answer: Isaiah",person,91551.jpg
RT @FanJam : Kobe to Shaq : The most infamous alley-oop ever http://t.co/sC7q6I2JaC Which word(s) correspond to the person in the sentence? ,Kobe,RT @FanJam : Kobe to Shaq : The most infamous alley-oop ever http://t.co/sC7q6I2JaC Which word(s) correspond to the person in the sentence? Answer: Kobe,person,760088.jpg
Happy Birthday to Jean Auguste Dominique Ingres ( second attempt ) . http://t.co/jIYyYia8oZ Which word(s) correspond to the person in the sentence? ,Jean Ingres Dominique Auguste,Happy Birthday to Jean Auguste Dominique Ingres ( second attempt ) . http://t.co/jIYyYia8oZ Which word(s) correspond to the person in the sentence? Answer: Jean Ingres Dominique Auguste,person,113307.jpg
RT @chicagotribune : White Sox ' s Adam LaRoche grew up in baseball clubhouses ; he wants his son to do the same http://t.co/fdnNH0eOu6 http://… Which word(s) correspond to the organization in the sentence? ,White Sox,RT @chicagotribune : White Sox ' s Adam LaRoche grew up in baseball clubhouses ; he wants his son to do the same http://t.co/fdnNH0eOu6 http://… Which word(s) correspond to the organization in the sentence? Answer: White Sox,organization,71567.jpg
More selfies ! This time for King and I nominee Ken Watanabe and his beautiful wife . #ny1tonys http://t.co/x8GqGrknMX Which word(s) correspond to the person in the sentence? ,Ken Watanabe,More selfies ! This time for King and I nominee Ken Watanabe and his beautiful wife . #ny1tonys http://t.co/x8GqGrknMX Which word(s) correspond to the person in the sentence? Answer: Ken Watanabe,person,90471.jpg
RT @WanderlustersUK : My 4 Wheeled Adventure Across Nepal http://t.co/I4wXjV0ZR8 #wluk #ttot http://t.co/XnhcdtYRoI Which word(s) correspond to the location in the sentence? ,Nepal,RT @WanderlustersUK : My 4 Wheeled Adventure Across Nepal http://t.co/I4wXjV0ZR8 #wluk #ttot http://t.co/XnhcdtYRoI Which word(s) correspond to the location in the sentence? Answer: Nepal,location,414512.jpg
Uncle Tetsu opening cheesecake factory under the nearby Toronto Coach Terminal http://t.co/mxZsONTPuI http://t.co/4JU0l9SnRm via @ blogto Which word(s) correspond to the organization in the sentence? ,Uncle Tetsu,Uncle Tetsu opening cheesecake factory under the nearby Toronto Coach Terminal http://t.co/mxZsONTPuI http://t.co/4JU0l9SnRm via @ blogto Which word(s) correspond to the organization in the sentence? Answer: Uncle Tetsu,organization,493590.jpg
1/2 from Neka Art Museum Ubud . Meaning follows #genprev #AgainstATideOfEvil http://t.co/8ASe9PTmfe Which word(s) correspond to the location in the sentence? ,Neka Ubud Museum Art,1/2 from Neka Art Museum Ubud . Meaning follows #genprev #AgainstATideOfEvil http://t.co/8ASe9PTmfe Which word(s) correspond to the location in the sentence? Answer: Neka Ubud Museum Art,location,13913.jpg
"RT @RapUp : The Weeknd and the cast of "" Empire "" pose for the September issue of Vogue http://t.co/DGAQGzohwS http://t.co/5PKs8JtccU Which word(s) correspond to the organization in the sentence? ",Vogue,"RT @RapUp : The Weeknd and the cast of "" Empire "" pose for the September issue of Vogue http://t.co/DGAQGzohwS http://t.co/5PKs8JtccU Which word(s) correspond to the organization in the sentence? Answer: Vogue",organization,119897.jpg
"RT @WSJ : If you invest in property in the Caribbean , you get citizenship http://t.co/x7NGy5J0jl http://t.co/dId2gqnFkw Which word(s) correspond to the location in the sentence? ",Caribbean,"RT @WSJ : If you invest in property in the Caribbean , you get citizenship http://t.co/x7NGy5J0jl http://t.co/dId2gqnFkw Which word(s) correspond to the location in the sentence? Answer: Caribbean",location,30481.jpg
